usable,obj,suite,stem,task,T,disp,rise,path,z0,scene,npz
yes,akita_black_bowl_1,libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,pick up the black bowl on the wooden cabinet and place it on the plate,136,0.5283,0.1364,0.7959,1.1264,table,akita_black_bowl_1__pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,pick up the black bowl on the stove and place it on the plate,155,0.4719,0.1906,0.7341,0.9255,table,akita_black_bowl_1__pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_90,LIVING_ROOM_SCENE4_stack_the_left_bowl_on_the_right_bowl_and_place_them_in_the_tray,stack the left bowl on the right bowl and place them in the tray,206,0.4435,0.1627,0.8699,0.4352,low_table,akita_black_bowl_1__living_room_scene4_stack_the_left_bowl_on_the_right_bowl_and_place_them_in_the_tray_flow.npz
yes,akita_black_bowl_1,libero_90,LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray,pick up the black bowl on the left and put it in the tray,110,0.4323,0.1744,0.6950,0.4352,low_table,akita_black_bowl_1__living_room_scene4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray_flow.npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet,put the black bowl on top of the cabinet,147,0.4298,0.3334,0.6874,0.8982,table,akita_black_bowl_1__kitchen_scene5_put_the_black_bowl_on_top_of_the_cabinet_flow.npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,close the top drawer of the cabinet and put the black bowl on top of it,197,0.3980,0.2998,0.5801,0.8982,table,akita_black_bowl_1__kitchen_scene10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it_flow.npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet,put the black bowl on top of the cabinet,147,0.3839,0.2998,0.5682,0.8982,table,akita_black_bowl_1__kitchen_scene4_put_the_black_bowl_on_top_of_the_cabinet_flow.npz
yes,akita_black_bowl_1,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,153,0.3775,0.1371,0.7466,1.0626,table,akita_black_bowl_1__pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet,put the black bowl on top of the cabinet,161,0.3599,0.3050,0.7049,0.8982,table,akita_black_bowl_1__kitchen_scene1_put_the_black_bowl_on_top_of_the_cabinet_flow.npz
yes,akita_black_bowl_1,libero_10,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,put the black bowl in the bottom drawer of the cabinet and close it,261,0.3379,0.1936,0.6951,0.8982,table,akita_black_bowl_1__kitchen_scene4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_flow.npz
yes,akita_black_bowl_1,libero_goal,put_the_bowl_on_top_of_the_cabinet,put the bowl on top of the cabinet,91,0.3347,0.2881,0.4902,0.8982,table,akita_black_bowl_1__put_the_bowl_on_top_of_the_cabinet_flow.npz
yes,akita_black_bowl_1,libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,pick up the black bowl next to the cookie box and place it on the plate,123,0.2913,0.1354,0.4367,0.8982,table,akita_black_bowl_1__pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_90,KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,put the black bowl in the top drawer of the cabinet,122,0.2884,0.3341,0.6814,0.8982,table,akita_black_bowl_1__kitchen_scene5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet_flow.npz
yes,akita_black_bowl_1,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,pick up the black bowl on the ramekin and place it on the plate,137,0.2858,0.1332,0.7191,0.9531,table,akita_black_bowl_1__pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_flow.npz
yes,akita_black_bowl_1,libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,pick up the black bowl next to the ramekin and place it on the plate,152,0.2680,0.1685,0.5817,0.8982,table,akita_black_bowl_1__pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_flow.npz
